English,Hindi,Original
"But Rep. Bill Shuster (R-Pa.), chairman of the House Transportation Committee, has said he, too, sees it as the most viable long-term alternative.","लेकिन. बिल्‍स्टर (आर-पी.), हाउस परिवहन समिति के अध्यक्ष, उन्होंने भी कहा है कि इसे सबसे लंबे समय के साथ-साथ निश्चित विकल्प के रूप में भी देखा जाता है।","लेकिन गृह परिवहन समिति के अध्यक्ष, रिप. बिल शुस्टर (आ.-पी.ए.) भी ब्लैक बॉक्स को सबसे व्यवहार्य दीर्घकालिक विकल्प मानते हैं।"
The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.,कारण आधार पर मुक्त बाजार चालकों को प्रति मील भुगतान करने से भी खुशी मिलती है।,रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।
"""This is not just a tax going into a black hole,"" said Adrian Moore, vice president of policy at Reason.","""यह सिर्फ एक कर पर्स नहीं है जो ब्लैक होल में जा रहा है,""""""""एटिनिअन ने कहा, जिसका कारण था।","रीजन में पॉलिसी के उपाध्यक्ष, एड्रियन मूर ने कहा, ""यह मात्र ऐसा कर नहीं है जो अंधे कुएँ में जा रहा है।"""
People are paying more directly into what they are getting.,"लोगों को वे जो प्राप्त कर रहे हैं, उसमें सीधे भुगतान कर रहे हैं।","लोग जो चीज प्राप्त कर रहे हैं, उसके लिए अधिक प्रत्यक्ष रूप से भुगतान कर रहे हैं।"
"The movement is also bolstered by two former U.S. Transportation secretaries, who in a 2011 report urged Congress to move in the pay-per-mile direction.","इस आंदोलन को दो पूर्व अमरीकी परिवहन सचिवों द्वारा भी मजबूत किया गया है, जिन्होंने 2011 के एक रिपोर्ट में कांग्रेस से भुगतान-परा दिशा में स्थानांतरित करने के लिए आग्रह किया।","इस अभियान को दो भूतपूर्व अमेरिकी परिवहन सचिवों ने भी समर्थन दिया है, जिन्होंने वर्ष 2011 में अपनी रिपोर्ट में कांग्रेस से प्रति-मील भुगतान की दिशा में आगे बढ़ने का अनुग्रह किया था।"
"The U.S. Senate approved a $90-million pilot project last year that would have involved about 10,000 cars.","पिछले साल यू.एस.एस.एस.एल ने एक $90- मिलीमीटर पायलट परियोजना स्वीकार की, जिसमें लगभग 10,000 कार शामिल होंगी।","यू.एस. सीनेट ने पिछले वर्ष 90-मिलियन डॉलर की परीक्षण परियोजना स्वीकृत की थी, जिसमें 10,000 कारें शामिल हो गई होतीं।"
"But the House leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.","लेकिन हाउस नेतृत्व ने इस प्रस्ताव को मार डाला, ग्रामीण कानून विक्रेताओं की चिंताओं पर कार्यान्वित किया, जिनके दैनिक जीवन में अक्सर बहुत-बहुत-बहुत-बहुत-बहुत मीलियां काम करने या शहर में जाने के लिए हैं।","लेकिन ग्रामीण विधि-निर्माताओं की चिंताओं पर काम करते हुए, जो ऐसे व्यक्तियों का प्रतिनिधि कर रहे थे जिन्हें रोजाना काम पर जाने अथवा शहर में जाने के लिए बहुत अधिक मील चलना पड़ता है, सदन के नेतृत्व ने उस प्रस्ताव को वहीं पर समाप्त कर दिया।"
Several states and cities are nonetheless moving ahead on their own.,कई राज्यों और शहरों को अपने आप आगे बढ़ रहे हैं।,फिर भी बहुत से राज्य और शहर खुद-ब-खुद इस दिशा में आगे बढ़ रहे हैं।
"The most eager is Oregon, which is enlisting 5,000 drivers in the country's biggest experiment.","सबसे उत्सुक व्यक्ति है, जो देश के सबसे बड़े प्रयोग में 5,000 ड्राइवरों को भर्ती कर रहा है।","इसमें सबसे अधिक इच्छुक ऑरेगोन है, जिसने देश के सबसे बड़े प्रयोग में 5,000 चालक सूचीबद्ध किए हैं।"
Those drivers will soon pay the mileage fees instead of gas taxes to the state.,वे चालक जल्द ही गैस कर के बदले कर का भुगतान करेंगे।,ये चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे।
Nevada has already completed a pilot.,नेवांडा ने पहले ही एक पायलट पूरा कर लिया है।,नेवाडा ने पहले ही प्रारंभिक परीक्षण पूर्ण कर लिया है।
New York City is looking into one.,न्यू यॉर्क शहर एक में देख रहा है।,न्यू यॉर्क शहर भी इस दिशा में आगे बढ़ रहा है।
Illinois is trying it on a limited basis with trucks.,इसे ट्रकों के साथ सीमित आधार पर लगा दिया जा रहा है।,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।
"And the I-95 Coalition, which includes 17 state transportation departments along the Eastern Seaboard (including Maryland, Pennsylvania, Virginia and Florida), is studying how they could go about implementing the change.","और आई-95 कोलेशनल, जिसमें पूर्वी सागर बोर्ड (अंजन, ब्रिटेन और केरल सहित) 17 राज्यों परिवहन विभाग शामिल हैं, अध्ययन कर रहे हैं कि वे परिवर्तन को लागू करने के बारे में कैसे चल सकते हैं।","तथा आई-95 गठबंधन, जिसमें पूर्वी सीबोर्ड के साथ के 17 राज्य परिवहन विभाग (मेरीलैंड, पेनसिलवेनिया, वर्जीनिया तथा फ्लोरिडा समेत) शामिल हैं, इस बात का अध्ययन कर रहे हैं कि वे इस परिवर्तन का किस तरह क्रियान्वयन कर सकते हैं।"
The concept is not a universal hit.,संकल्प एक वैश्विक हिट नहीं है।,इस विचार को सभी जगहों पर समर्थन नहीं मिला।
"In Nevada, where about 50 volunteers' cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.","नवांडा में, जहां काफी समय पहले उपकरण से लगभग 50 स्वयंसेवक कार तैयार की गई थी, चालकों को अपने हर कदम को देखते हुए परेशान कर रहे थे।","नेवाडा में, जहाँ कुछ ही समय पहले 50 स्वैच्छिक कार चालकों की कारों पर इस डिवाइस को लगाया गया था, चालक इस बात को सोच कर बहुत अधीर थे कि सरकार उनके प्रत्येक कदम को मॉनीटर कर सकती है।"
"""Concerns about Big Brother and those sorts of things were a major problem,"" said Alauddin Khan, who directs strategic and performance management at the Nevada Department of Transportation.","""महान भाई के बारे में और उन प्रकार की चीजों के बारे में एक बड़ी समस्या थी,"" अलाउंड खान, जो नृत्‍य विभाग में रणनीति और प्रदर्शन प्रबंधन का निर्देश देता है।","नेवाडा परिवहन विभाग में रणनीतिक तथा कार्य-निष्पादन प्रबन्धन को निर्देशित करने वाले, अलाउद्दीन खान कहते हैं ""बिग ब्रदर तथा उसी प्रकार की अन्य चीजों के बारे में चिंता प्रमुख समस्या थी।"""
It was not something people wanted.,यह कुछ नहीं था जो लोग चाहते थे।,"यह ऐसी चीज नहीं है, जिसे लोग चाहते थे।"
"As the trial got underway, the ACLU of Nevada warned on its website: ""It would be fairly easy to turn these devices into full-fledged tracking devices.""","जैसा कि परीक्षण चल रहा था, नेवाद के राज्‍य ने अपनी वेबसाइट पर चेतावनी दी थी: """"इन उपकरणों को पूर्ण-अनित ट्रैक उपकरणों में बदलने में काफी आसानी होगी।""","परीक्षण के आगे बढ़ने के साथ ही, नेवाडा के ए.सी.एल.यू. ने अपनी वेबसाइट पर चेतावनी दी थीः ""इन डिवाइस को पूर्ण ट्रैकिंग डिवाइस में परिवर्तित करना काफी हद आसान होगा।"""
"There is no need to build an enormous, unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals' everyday comings and goings.","एक विशाल, उष्णी प्रौद्योगिकी का निर्माण करने की आवश्यकता नहीं है जो लोगों के दैनिक आगमन और जाड़े के रिकॉर्ड बनाए रखने के लिए अनिवार्य रूप से विस्तार किया जाएगा।","विशाल, अप्रबंधनीय प्रौद्योगिकी ढाँचा-संरचना विकसित करने की कोई आवश्यकता नहीं है, जिसे प्रत्येक व्यक्ति के रोजाना आने-जाने का रिकॉर्ड रखने के लिए अवश्यंभावी रूप से फैलाना पड़े।"
"Nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven, but not exactly where and at what time.","नवांडा अब कई राज्यों में आर्थिक प्रौद्योगिकी प्राप्त करने के लिए प्रेरित है, जो राज्य को इस बात का पता लगाने की अनुमति देता है कि एक कार कितनी मील की दूरी पर कितनी दूरी तय की जा रही है, लेकिन वास्तव में नहीं जहां और किस समय।","नेवाडा उन बहुत से राज्यों में से है, जो वहनीय प्रौद्योगिकी प्राप्त करने के लिए हरसंभव प्रयास कर रहा है, जिसकी सहायता से राज्य इस बात का विवरण प्राप्त कर सके कि कार कितने मील प्रतिदिन चल रही है, लेकिन यह नहीं कि वह कहां और किस समय चल रही है।"
"If you can do that, Khan said, the public gets more comfortable.","अगर आप ऐसा कर सकते हैं, खान ने कहा कि जनता को और अधिक आराम मिलता है।","खान ने कहा कि यदि आप ऐसा कर सकते हैं, तो लोग अधिक सहज महसूस कर सकते हैं।"
The hunt for that technology has led some state agencies to a small California startup called True Mileage.,"उस प्रौद्योगिकी के शिकार ने कुछ राज्य संघों का नेतृत्व किया है, जिसे सच्चा मुगल कहा जाता है।",इस प्रौद्योगिकी की तलाश ने कुछ राज्य एजेन्सियों को ट्रू माइलेज नामक छोटे कैलीफोर्निया स्टार्ट-अप के पास पहुंचाया।
The firm was not originally in the business of helping states tax drivers.,कंपनी शुरू में कर चालकों की मदद करने के व्यवसाय में नहीं थी।,यह फर्म मूल रूप से राज्य कर चालकों की सहायता करने के व्यवसाय में नहीं थी।
"It was seeking to break into an emerging market in auto insurance, in which drivers would pay based on their mileage.","यह ऑटो बीमा में एक उभरने वाला बाजार बनाना चाहता था, जिसमें ड्राइवर अपनी मीलों पर आधारित भुगतान करेंगे।","यह ऑटो बीमा के उभरते हुए बाजार में प्रवेश करने का प्रयास कर रही थी, जिसमें चालकों को अपनी माइलेज के आधार पर भुगतान करना था।"
"But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.","लेकिन यह उपकरणों को सड़क योजनाकारों के लिए परीक्षण कर रहा है क्योंकि वे जावा का उपयोग नहीं करते हैं और कुछ हद तक जानकारी का उपयोग करते हैं, जो कि मोड द्वारा समय पर अपलोड करते हैं।","लेकिन यह जिस डिवाइस का परीक्षण कर रही है, वह हाईवे योजनाकारों को अच्छी लगी, क्योंकि उसमें जी.पी.एस. का उपयोग नहीं होता तथा बहुत सीमित सूचना प्रदान करती है, जो निश्चित समय अन्तराल पर मॉडम द्वारा अपलोड होती है।"
"""People will be more willing to do this if you do not track their speed and you do not track their location,"" said Ryan Morrison, chief executive of True Mileage.","""लोग ऐसा करने के लिए अधिक तैयार होंगे यदि आप उनकी गति पर नहीं चलते हैं और आप उनके स्थान पर नहीं ट्रैक करते हैं,"" रायन ने कहा, जो कि सच्चा मील का मुख्य अधिकारी है।""","ट्रू माइलेज के मुख्य अधिशासी रेयान मॉरिसन ने कहा, ""यदि आप लोगों की गति और उनके स्थान को ट्रैक नहीं करते तो वे इस तरीके को अपनाने में अधिक इच्छुक होंगे।"""
There have been some big mistakes in some of these state pilot programs.,इनमें से कुछ राज्य पायलट कार्यक्रमों में कुछ बड़ी गलतियाँ हुई हैं।,राज्य के इन प्रारंभिक कार्यक्रमों में कुछ बड़ी गलतियाँ हुई हैं।
There are a lot less expensive and less intrusive ways to do this.,ऐसा करने के लिए बहुत कम लागत और कम अवशोषित तरीके हैं।,ऐसा करने के लिए बहुत कम खर्चीले तथा कम हस्तक्षेप करने वाले तरीके भी हैं।
"In Oregon, planners are experimenting with giving drivers different choices.","दाईं ओर, योजनाकारों को अलग-अलग चुनाव देने के लिए प्रयोग कर रहे हैं।","ऑरेगॉन में, योजनाकार चालकों को भिन्न-भिन्न विकल्प देने का प्रयोग कर रहे हैं।"
They can choose a device with or without GPS.,वे बिना जीपीएस के उपकरण चुन सकते हैं।,वे जी.पी.एस. युक्त या बिना जी.पी.एस. की डिवाइस चुन सकते हैं।
"Or they can choose not to have a device at all, opting instead to pay a flat fee based on the average number of miles driven by all state residents.",या वे सभी राज्यवासियों द्वारा चलाए गए मीलों की औसत संख्या पर आधारित एक फ्लैट का भुगतान करने के बजाय किसी उपकरण का चयन कर सकते हैं।,"या फिर से कोई भी डिवाइस न लेना चुन सकते हैं, बल्कि राज्य के निवासियों द्वारा तय किए जाने वाले औसत मीलों के आधार पर निर्धारित शुल्क देना चुन सकते हैं।"
"Other places are hoping to sell the concept to a wary public by having the devices do more, not less.","अन्य स्थानों को उपकरणों के साथ-साथ, कम नहीं, बल्कि लोगों के प्रति सतर्कता को बेचने की उम्मीद है।",अन्य स्थानों को आशा है कि डिवाइस में कम की बजाय और अधिक सुविधा प्रदान करके चिंतित नागरिकों को यह अवधारण बेची जा सकती है।
"In New York City, transportation officials are seeking to develop a taxing device that would also be equipped to pay parking meter fees, provide ""pay-as-you-drive"" insurance, and create a pool of real-time speed data from other drivers that motorists could use to avoid traffic.","न्यू यॉर्क शहर में परिवहन अधिकारी एक करिंग उपकरण विकसित करने की खोज कर रहे हैं, जो कि सड़क के लेन-साथ भुगतान करने के लिए भी तैयार किया जाएगा, ""आप-साथ-साथ भुगतान"" बीमा प्रदान करेंगे, और अन्य चालकों से वास्तविक समय की गति डेटा तैयार कर रहे हैं जो मोटर चालक यातायात से बचने के लिए उपयोग कर सकते हैं।","न्यू यॉर्क शहर में, परिवहन अधिकारी ऐसी टैक्सिंग डिवाइस विकसित करने का प्रयास कर रहे हैं, जिसमें पार्किंग मीटर शुल्क का भुगतान करने की सुविधा भी होगी, ""अपने ड्राइव के अनुसार भुगतान"" बीमा प्रदान करेगी, तथा अन्य चालकों से वास्तविक समय का गति डेटा का संग्रह निर्मित करेगी जिसका उपयोग मोटर-चालक ट्रैफिक से बचने के लिए कर सकेंगे।"
"""Motorists would be attracted to participate because of the value of the benefits it offers to them,"" says a city planning document.","एक शहर योजना दस्तावेज कहता है कि एक शहर योजना दस्तावेज कहता है कि यह लाभ जो लाभ देता है, उसके कारण ""मृतकों को भाग लेने के लिए आकर्षित किया जाएगा।""","शहर नियोजन दस्तावेज में उल्लेख किया गया है, ""मोटर-चालक इससे प्राप्त होने वाले लाभों के कारण इसमें सहभागिता के लिए आकर्षित होंगे।"""
"Some transportation planners, though, wonder if all the talk about paying by the mile is just a giant distraction.","हालांकि, कुछ परिवहन योजनाएं यह आश्‍चर्य करती हैं कि मील की भुगतान के बारे में सभी बातचीत केवल एक विशाल आकर्षण है ।","यद्यपि, कुछ परिवहन योजनाकारों को आश्चर्य होता है कि शायद मील के अनुसार भुगतान पर सारी चर्चा बड़ा विकर्षण है।"
"At the Metropolitan Transportation Commission in the San Francisco Bay Area, officials say Congress could very simply deal with the bankrupt Highway Trust Fund by raising gas taxes.","सेन्‍द्री खाड़ी क्षेत्र में मेलोन्‍द्रीय परिवहन प्रावधान पर, अधिकारी कहते हैं कि कांग्रेस गैस करों को उठाने के द्वारा कम से कम उच्च राजमार्ग संरक्षण निधि से बहुत कुछ कर सकता है।",सैन फ्रैन्सिस्को खाड़ी क्षेत्र में मेट्रोपॉलिटन परिवहन आयोग ने कहा है कि कांग्रेस गैस टैक्स में वृद्धि करके दिवालिया हाईवे ट्रस्ट फ़ंड की समस्या से बहुत आसानी से निपट सकती है।
"An extra one-time or annual levy could be imposed on drivers of hybrids and others whose vehicles don't use much gas, so they pay their fair share.","एक अतिरिक्त समय या वार्षिक लाभ प्राप्तियों के ड्राइवरों और अन्यों पर लगाया जा सकता है जिनके वाहन ज्यादा गैस का उपयोग नहीं करते, ताकि वे अपनी उचित साझेदारी का भुगतान करते हैं।","हाइब्रिड अथवा अन्य कारों के चालकों पर अतिरिक्त एक-समय का अथवा वार्षिक शुल्क भी लगाया जा सकता है, जिनके वाहन बहुत अधिक गैस का उपयोग नहीं करते हैं ताकि वे अपने उचित हिस्से का भुगतान करें।"
