English,Hindi,Original
"Airbus this week called for an industry standard that would provide for a seat at least 18 inches (46 cm) wide in economy cabins, but its U.S. arch-rival Boeing says it should be for airlines to decide.","इस सप्ताह ने एक उद्योग मानक की माँग की जो अर्थव्यवस्था के दायरे में कम से कम 18 इंच विस्तृत सीट प्रदान करेगा, लेकिन इसके अमेरिका-ए. एस.एस. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए.",एरबस इस इस हफ्ते ईकॉनोमी  कॅबिन मे  कम से कम  18 इंच (४६ सेमी) की विस्तृत सीट दे ऐसे इंडस्ट्री मानक  की आशा की है  लेकिन यह एरलाइन्स द्वारा तय होना चाहिए उसके मुख्या-प्रतिद्वंद्वी बोइंग का कहना है ।
"The dispute comes as plane makers vie to sell ever-larger versions of their twin-engined long-distance aircraft, with potentially record orders expected at the November 17-21 event.",यह विवाद नवंबर 17-21 की घटना में अपेक्षा किए गए संभावित रिकॉर्ड आदेशों के साथ अपने जुड़ते हुए कभी-बड़े-बड़े संस्करण को बेचने की गति में आता है।,विवाद विमान निर्माताओ के बीच तब आता है जब 17-21 की घटना के बाद संभावित दर्ज किए गये ऑर्डर मे से लंबी दूरी के  एरक्रॅफ्ट के जुड़वां इंजन के बड़े वर्सन को बेचने की होड़ लगी ।
"How the back of the plane is laid out - particularly whether seating is 9 or 10 abreast - is central to the economic performance claims being made for new ""mini-jumbo"" jet designs.","विमान का पीछे कैसे रखा जाता है - विशेष रूप से क्या बैठने का समय 9 या 10 बराबर होता है - नई ""मि-मिबो"" तकनीकों के लिए किए जा रहे आर्थिक प्रदर्शन का केंद्र है।",विमान का पिछला विभाग कैसे बनाया गया है- विशेष रूप से कि क्या सीटिंग 9 या 10 बराबर है अधिक क्षमता के दावो  को ध्यान मे रखते हुए  मिनी जंबो जेट्स के डिज़ाइन तैयार किए जा रहे है?
"Boeing says its revamped ""777X"" will hold 406 people based on economy seats more than 17 inches wide and set out 10 in each row.","""""777X""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""सकारी सीटों पर आधारित 406 लोगों को 17 इंच चौड़ी जगह पर रखा जाएगा और प्रत्येक पंक्ति में 10 निर्धारित किया जाएगा।","बोइंग का कहना है यह ""777 X"" बनाया  है जो  406 लोगों  को 17 इंच चौड़ी और एक पंक्ति मे 10 लोगो एकनामिक विभाग मे रखेगा ।"
Airbus says the competing version of its A350 will carry 350 people in 18-inch-wide economy seat laid out 9 abreast.,एयरब्स कहते हैं कि अपने A350 के अभियान संस्करण में 18 वर्ग50 लोगों को 18-पूरी अर्थव्यवस्था सीट पर ले जाया जाएगा।,एयरबस का कहना है की  A350 के साथ होड़ करते हुए  यह 350 लोगों को 18 इंच छोड़ी  9 बराबर रखी सीट में ले जाएगा।
Plane giants often trade blows on technical matters through advertising in the trade press.,व्यापार प्रेस में विज्ञापन के माध्यम से तकनीकी मामलों पर चित्रों का अक्सर व्यापार करते हैं।,विमान दिग्गज अक्सर व्यापार प्रेस में विज्ञापन के माध्यम से तकनीकी मामलों पर व्यापार प्रहार करते है ।
"Now, Airbus is appealing directly to the public ahead of the Dubai Airshow, where the 777X is expected to dominate with more than 100 orders.","अब, वायु सीधे वायु के सामने लोगों को आकर्षक लगती है, जहां 777X से अधिक आदेशों से अधिक से अधिक परे होने की अपेक्षा की जाती है।","अब, एयरबस 777 X के साथ दुबई  ऐर्शो मे 100 से अधिक ऑर्डर पर हावी होने की आशा है, ऐसा  आगे जनता को अपील कर रही है।"
"It recently previewed what may be the start of a new ad war by showing financiers a slide illustrating three people squashed together at a restaurant, titled ""Would You Accept This?""","हाल ही में यह दिखाया गया कि एक नए युद्ध की शुरुआत एक स्लाइड शो वाले को एक होटल में तीन लोगों को एक साथ एकत्रित करने के द्वारा क्या हो सकता है, जिसका शीर्षक है ""क्या आप इसे स्वीकार करते हैं?""",हाल ही मे यह देखा जा रहा है की  विगियापन  युद्ध की शुरुआत कुछ भी रही हो ये फिनँसेरो को यह दिखाते हुए एक साथ एक रेस्तरा मे तीनो एक साथ क्या यह आप स्वीकार करोगे?
"""Boeing is proposing long-distance flying in seats narrower than regional turbo-props,"" said Airbus sales chief John Leahy.","""""बोबोब-पीएस"" की तुलना में बंगाल में लंबी दूरी उड़ रही है,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""सबबबबस्‍थास मुख्य जॉन संस्‍थाय से संबंधित है।","एयरबस बिक्री प्रमुख जॉन लेही ने  ""बोइंग क्षेत्रीय टर्बो से भी संकरीसीटों में लंबी दूरी की उड़ान पेश कर रही है"" कहा।"
"As diets change, people get bigger but plane seating has not radically changed.","आहार परिवर्तन के रूप में, लोगों को बड़ा मिलता है लेकिन विमान सीटिंग ने अत्यंत परिवर्तन नहीं किया है।","बदलाव के रूप मे , लोगों को  भले बड़ा मिल रहा हो, लेकिन विमान बैठने का तरीका बदला नहीं है।"
"Between the early 1970s, when the Boeing 747 jumbo defined modern long-haul travel, and the turn of the century, the weight of the average American 40- to 49-year-old male increased by 10 per cent, according to U.S. Health Department Data.","सन् 1970 के दशक के मध्य, जब उत्तर प्रदेश में 747 शंबी ने आधुनिक काल की यात्रा की, और इस शताब्दी की बारी, औसत अमेरिकी 40 से 49 साल के नर का वजन अमरीका के स्वास्थ्य विभाग के अनुसार 10 प्रतिशत बढ़ा।","अमरीकी स्वास्थ्य विभाग के आंकड़ों के अनुसार 1970 के दशक के बीच जब बोइंग 747 जंबो ne आधुनिक लंबे समय ki यात्रा  ko परिभाषित किया tha, और सदी के  ant me औसत 40 - 49 वर्षीय अमेरिकी नर ke वजन me 10 प्रतिशत वृद्धि हुई ।"
"The waist of the average 21st-century American male is 39.7 inches, according to U.S. health statistics.",अमेरिका के स्वास्थ्य सांख्यिकीों के अनुसार औसत 21 वीं-आर्ट अमेरिकी पुरुष की कमर 39 इंच है।,"अमेरिकी स्वास्थ्य सांख्यिकी के अनुसार 21 वीं सदी मे औसत अमेरिकी पुरुष की कमर 39.7 इंच, है।"
"Airbus says its rival is sticking to a seat concept from the 1950s, when the average girth of the newly christened ""jet set"" was narrower.","एयरब्स का कहना है कि इसका विरोधी 1950 के दशक से एक सीट धारणा से जुड़ा हुआ है, जब नए स्‍थान का औसत ज्‍थार था ।","एयरबस का कहना है की इसका प्रतिद्वंद्वी 1950 की एक सीट अवधारणा से चिपके हुए है जब नये नाम ""जेट सेट"" की औसत परिधि संकरी थी , ।"
Airbus says it has commissioned research suggesting an extra inch in seat width improves sleep quality by 53 per cent.,"एयरब्स कहते हैं कि इसने बैठने की चौड़ाई में एक अतिरिक्त इंच का सुझाव दिया है, जिससे 53 प्रतिशत सोने का गुण बेहतर हो जाता है।",एयरबस का कहना है की उन्होने रिसर्च कमिशन स्थापित किया है जो  सीट की  चौड़ाई में एक अतिरिक्त इंच 53 फीसदी  नींद की गुणवत्ता में सुधार का सुझाव दे।
Boeing disputes Airbus's figures on seat measurements and says it is not up to manufacturers to step into decisions on how airlines balance fares and facilities.,सीट माप पर वायु के आंकड़े परस्पर संघर्ष और कहते हैं कि विमान संतुलन और सुविधाओं पर निर्णय लेने के लिए कदम उठाने के लिए नहीं है।,"बोइंग ने एयरबस के सीट माप  के आँकड़ो पर विवाद किया , और कहा है की यह निर्माताओं के फैसले पर निर्भर नहीं है की कैसे एयरलाइंस किराए और सुविधाओ के बीच संतुलन बनती है ।."
It also says research shows cabin experience depends on more than the width of a seat.,यह अनुसंधान भी बताती है कि केले का अनुभव एक सीट की चौड़ाई से अधिक पर निर्भर करता है।,"यह भी कहते हैं, की  रिसर्च से पता चलता है एक सीट की चौड़ाई से अधिक केबिन के अनुभव पर निर्भर करता है।"
"""It really comes down to providing flexibility to airlines and allowing them to do the things that they believe they need to do to be successful,"" said Boeing cabins expert Kent Craver.","""यह वास्तव में विमानों के लिए सहजता प्रदान करने और उन्हें उन चीजों को करने की अनुमति देने के लिए नीचे आती है जो वे मानते हैं कि उन्हें सफल होने की आवश्यकता है,"" केंट केंट केंट केस कांटर ने कहा।","बोइंग केबिन विशेषज्ञ केंट क्रावेर ने कहा कि.""यह वास्तव में एयरलाइनों को  लचीलापन प्रदान करने  मे और उन चीजों पर जिन्हेविश्वास है कि वे सफल होने के लिए क्या करने की जरूरत है यह बताते है ।"""
They don't want us to dictate to them what makes them profitable.,"वे नहीं चाहते हैं कि हम उन्हें जो लाभ प्रदान करते हैं, वह हम पर लागू हो।",""" वे हमें यह नही बताना चाहते की उन्हे किससे लाभ है""।"
They know their business better than anyone else.,वे अपने व्यापार को किसी और से बेहतर जानते हैं।,उन्हे  उनके व्यवसाय का बेहतर पता है किसी और की तुलना मे।
"For flyers it is about more elbow room, but for suppliers it is increasingly an issue that could affect earnings.","उड़नेवालों के लिए यह और अधिक फैला हुआ कमरा है, लेकिन आपूर्ति के लिए यह एक ऐसा मुद्दे है जो कमाई को प्रभावित कर सकता है।","फ्लाइयर्स के लिए यह  कोहनी कमरे के बारे में है, लेकिन आपूर्तिकर्ताओं के लिए यह तेजी से एक मुद्दा है कि यह आय को प्रभावित कर सकता है।"
"Behind the dispute is a race for plane orders with at least $700-billion of estimated business at list prices in coming decades, enough to tip the scales of U.S. and European exports.","विवाद के पीछे विमान के आदेशों की एक दौड़ है जिसमें आने वाले दशकों में अनुमानित सूची मूल्यों पर अनुमानित व्यापार की कम से कम $700-पी, जो कि यू.एस.एस. और यूरोपीय निर्यातों के हिसाब से होता है।","इस विवाद के पीछे कम से कम 700 अरब डॉलर के व्यापार का अंदाज है विमान ऑर्डर की स्पर्धा अमेरिकी और यूरोपीय निर्यात का तराजू टिप करने के लिए आने वाले दशकों में, पर्याप्त है।"
"As Reuters first reported in July, seat layout is exactly what drives the battle between the latest jets.","जैसा कि जुलाई में रिपोर्ट की गई थी, सीट खाका वास्तव में नवीनतम जेटों के बीच लड़ाई को प्रेरित करता है।","रायटर की रिपोर्टने बताया जुलाई में पहली बार,की क्या सीट लेआउट वास्तव में नये जेट विमानों के बीच लड़ाईका मुद्दा है।"
"Both Airbus and Boeing claim 20 per cent better efficiency per seat in their latest twin-engined long-haul designs than the market leader in that segment, the 365-seat Boeing 777-300ER.","इस खंड में बाजार के नेता, 365-300 करोड़ रुपये 777-300सर की तुलना में अपने नवीनतम अनुभाग में 20 प्रतिशत बेहतर पैमाने पर शिखर पर 20 प्रतिशत बेहतर क्षमता का दावा करते हैं।","एयरबस और बोइंग ने दावा किया की प्रति सीट 20 प्रतिशत कार्यदक्शता हुई है उनके नये जुड़वा एंजिन डिज़ाइन मे उस खंड के लीडर की, 365-सीट बोइंग 777-300 एर  की तुलना मे।"
Boeing's performance claims depend in part on comparing the 10-abreast 777X with an original 9-abreast 777 design.,कमल के प्रदर्शन का दावा है कि एक मूल 9-आदमी 777X की तुलना में भाग लेने पर निर्भर है।,बोइंग के प्रदर्शन का दावा निर्भर करता है  10 वाला 777 एक्स वन मूल 9 वाला 777 डिजाइन के साथ तुलना पर ।
The gain in unit costs is blunted compared with 10-abreast now in use.,इकाई लागत में लाभ की तुलना में अब उपयोग में 10-आर्ट से की गई है।,इकाई लागत में लाभ के साथ 10 बराबर अब तुलना का उपयोग हुआ है।
"""The reason Boeing are doing this is to cram more seats in to make their plane more competitive with our products,"" said Kevin Keniston, head of passenger comfort at Europe's Airbus.","""यह कारण है कि यह विमान हमारे उत्पादों के साथ ज्यादा प्रतिस्पर्धा करने के लिए एक विमान से अधिक सीटों की सीटों पर है,"""" जो यूरोप के एयरबल में यात्री आराम का सिर है।","केविन केनिस्टन, यूरोप के एयरबस यात्री सुविधा के हेड का कहना है ""बोइंग का यह  उनके विमान हमारे उत्पादों, के साथ और अधिक प्रतिस्पर्धी बनाने के लिए और अधिक सीटों पर कब्जा करने के लिए कर रहा है ""।"
"On the other hand, analysts say full 10-seat-per-row cabins for existing 777s suggest many passengers are voting for the denser layout, which may go hand in hand with cheaper fares.","दूसरी ओर, अनुमानों से पता चलता है कि मौजूदा 777 के लिए पूरा 10-कर पत्ते के पत्ते में बहुत से यात्रियों का सुझाव है कि वे घने खाका के लिए वोट कर रहे हैं, जो कि कम लागत के साथ हाथ में जा सकते हैं।","दूसरी तरफ, विश्लेषकों का कहना है पूरे 10-सीट-प्रति पंक्ति केबिन मौजूदा 777 S के लिए सुझाव है कि कई यात्रियों का डेनसर लेआउट के पक्ष मे है, जो साथ ही साथ सस्ते किराए के साथ जा सकते हैं।."
"""Eighteen inches in seat width would be great for passengers, but the reality is that from a business point of the Airbus proposal is driven by the threat of the 777,"" said cabin interiors expert Mary Kirby, founder and editor of the Runway Girl Network.","""कल चौड़ाई में लगभग इंच यात्रियों के लिए बहुत बड़ा होगा, लेकिन वास्तविकता यह है कि एयरब्स प्रस्ताव के एक व्यापार बिंदु से 777 की धमकी से प्रेरित किया जाता है,"" केल के अंदर के भीतरी आंतरिक विशेषज्ञ मेरी किले, निर्माण योजना और रन मंजिल नेटवर्क के संपादक।","केबिन अंदरूनी विशेषज्ञ मेरी कर्बी, संस्थापक और संपादक के रनवे लड़की नेटवर्क ने कहा"" अठारह इंच की सीट चौड़ाई यात्रियों के लिए बहुत बढ़िया रहेगा, लेकिन वास्तविकता यह है कि एयरबस का यह व्यापार बिंदु प्रस्ताव 777 की धमकी के द्वारा संचालित है"""
Airbus and Boeing do not supply seats but offer a catalogue of suppliers for airlines to choose from.,"एयरब्स और कनेच पर सीटें नहीं मिलतीं, बल्कि विमानों से चयन करने के लिए आपूर्ति की एक रूपरेखा पेश करते हैं।",एयरबस और बोइंग सीटों की आपूर्ति नहीं करते लेकिन एयरलाइंस के लिए आपूर्तिकर्ताओं से चुनने के लिए  एक सूची प्रदान कर रहे हे।
Globe-trotting jet sellers even carry tape measures to check on competing layouts.,मध्‍य ज्‍च्‍य की जांच करने के लिए भी नृत्‍य यंत्रों का उपयोग किया जा सकता है ।,दुनिया भर के जेट विक्रेता भी इस लेआउट्स  स्पर्धा पर जाँच करने के सावधानीपूर्वक उपाय करे।
"While boasting comfort, all builders also offer jets with high-density layouts for low-cost airlines and regional travel.","जब सभी विमानों को सांत्वना देते हैं, तो वे कम लागत विमानों और क्षेत्रीय यात्रा के लिए उच्च-संव-संक्षाओं के साथ विमानों को भी प्रदान करते हैं।","ज़्यादा आराम करते हुए, सभी बिल्डर्स भी जेट विमानों की कम लागत वाली विमान सेवाओं और क्षेत्रीय यात्रा के लिए उच्च घनत्व वाली लेआउट्स दे रहे हे।"
Airbus offers a 10-abreast A350 but says it has not yet sold it.,एयरब्स एक 10-आर्ट ए350 प्रदान करते हैं लेकिन कहते हैं कि अभी तक इसे बेच नहीं दिया है।,एयरबस दे रहा हे  एक 10 बराबर A350 लेकिन  कहते हैं  इसे अभी बेचा नहीं है।
"Until recently, Airbus was stressing the need for more cabin customization by offering wider aisle seats on some of its jets.","हाल के समय तक, एयरब्स अपने कुछ जेटों पर विस्तृत लय सीटों को प्रदान करके अधिक से अधिक कैबिनीकरण की आवश्यकता पर बल दे रहे थे।","पर हाल ही में जब तक, एयरबस ने अधिक केबिन सुविधा  की जरूरत के लिए इसके जेट विमानों में से कुछ पर व्यापक कॅबिन सीटों पर ज़ोर दिया।"
"Without the support of the only other maker of large modern jets, experts say its call for a new industry standard is unlikely to fly, but could distract from a wave of 777X sales.","बड़े आधुनिक जेटों के एकमात्र अन्य उत्पादकों के समर्थन के बिना, विशेषज्ञ कहते हैं कि एक नए उद्योग मानक के लिए इसका अनुरोध उड़ान की संभावना नहीं है, लेकिन 777X बिक्री की लहर से आगाह हो सकता है।","आधुनिक जेट विमानों का अन्य निर्माता के समर्थन के बिना एक नए उद्योग स्टॅंडर्ड पर उड़ान भरने , की संभावना नहीं है लेकिन यह 777 X बिक्री की लहर से विचलित कर सकता है।"
New anti-nicotine vaccine could take the pleasure out of smoking,नया विरोधी चिकित्सा टीका धूम्रपान से सुख उठा सकता है,नयी एंटी-निकोटीन वैक्सीन धूम्रपान का आनंद समाप्त कर सकती है
Scientists have developed an anti-nicotine vaccine that could take the pleasure out of smoking a cigarette.,वैज्ञानिकों ने एक विरोधी-नृजातीय वैक्सीन विकसित की है जो सिगरेट छोड़ने से सुख प्राप्त कर सकता है।,"वैज्ञानिकों ने एक एन्टी-निकोटीन वैक्सीन विकसित की है, जो कि धूम्रपान से मिलने वाले मजे को समाप्त कर सकती है।"
A single dose of the vaccine was able to protect mice against nicotine addiction for life.,इस वैक्सीन की एकल खुराक जीवन के लिए नि:संकरण की लत से बचने में सक्षम थी।,"वैक्सीन की एक ही खुराक, चूहों को पूरी जिंदगी के लिए नीकोटीन की लत से सुरक्षित रखने में सक्षम थी।"
"Further tests are needed before starting human trials, which would take several years, but Professor Ronald Crystal of Weill Cornell Medical College in New York said the early signs are good.","मानव परीक्षाओं को शुरू करने से पहले और भी परीक्षा की आवश्यकता है, जो कई वर्षों तक ले जाएगी, लेकिन न्यू यॉर्क में वेल कॉलल मेडिकल कॉलेज के प्रोफेसर नृत्‍य नृत्‍य ने कहा कि प्रारंभिक लक्षण अच्छे हैं ।","मनुष्य पर परीक्षण आरंभ किये जाने से पहले आगे और परीक्षण की आवश्यकता है, जिसके में कई वर्ष लग सकते है, लेकिन न्यूयॉर्क में वील कॉर्नेल मेडिकल कॉलेज के प्रोफेसर रोनाल्ड क्रिस्टल ने कहा कि आंरभिक संकेत सकारात्मक हैं।"
"""We are very hopeful that this kind of vaccine strategy can finally help the millions of smokers who have tried to stop, exhausting all the methods on the market today, but find their nicotine addiction to be strong enough to overcome these current approaches,"" Prof Cornell said.","""हम बहुत उम्मीद कर रहे हैं कि इस तरह के वैक्सीन योजना ने अंततः बाजार पर सभी तरीकों को खोने की कोशिश की है, लेकिन इन वर्तमान दृष्टिकोणों पर विजय पाने के लिए अपनी लत को मजबूत बनाने के लिए पर्याप्त पाया है।""","प्रोफेसर कॉर्नेल ने कहा कि ""हमें बहुत उम्मीद है कि इस प्रकार के वैक्सीन की रणनीति अंततः लाखों धूम्रपान करने वालों की सहायता कर सकता है, जिन्होंने आज के समय में बाजार में मौजूद सभी पद्धतियों का प्रयोग करते हुए धूम्रपान छोड़ने का प्रयास किया है, लेकिन उन्होंने पाया कि निकोटीन की उनकी लत, इन मौजूदा पद्धतियों से कहीं अधिक शक्तिशाली है।"""
The new vaccine contains a harmless virus that has been engineered to carry the genetic information to make anti-nicotine antibodies.,नए टीका में एक असुरक्षित वायरस है जो संक्रमण को रोकने के लिए आनुवंशिक जानकारी को पूरा करने के लिए निर्मित किया गया है।,"नये वैक्सीन में एक हानिरहित वायरस है, जिसे एन्टी-निकोटीन एन्टीबॉडीज बनाने के उद्देश्य से आनुवंशिक सूचना पहुंचाने के लिए तैयार किया गया है।"
"The virus selectively infects liver cells, which then start to make a steady stream of the antibodies.","वायरस चयनात्मक रूप से कलेजे की कोशिकाओं को फूँकता है, जो फिर रोग की एक सतत धारा बनाने लगता है।","यह वायरस, चुनिंदा रूप से यकृत कोशिका को संक्रमित करता है, जो कि उसके पश्चात एन्टीबॉडीज की एक स्थायी धारा बनाना शुरू कर देती है।"
"The antibodies hunt down any nicotine molecules in the bloodstream, neutralising them before they reached the brain, preventing a smoker from getting a nicotine hit.","रक्‍त में कोई भी निवाला अणु नीचे शिकार करते हैं, इससे पहले कि वे मस्तिष्क तक पहुंचने से पहले उन्हें साझा करते हैं, एक धूम्रपान करने से दूर रहते हैं ।","एन्टीबॉडीज रक्त में किसी भी निकोटीन अणुकणिका की खोज करते हैं, तथा उन्हें मस्तिष्क में पहुंचने से पहले निष्प्रभावी करने के द्वारा धूम्रपानकर्ता के अन्दर निकोटीन की तलब उठने से रोकता है।"
"In tests, vaccinated mice who were subsequently given nicotine continued with their normal activity.","परीक्षणों में, बाद में जिन्हें बाद में निपुष्टा दिया गया था, उनकी सामान्य गतिविधि के साथ जारी रही।","परीक्षण में, वैक्सीन दिये गये चूहे जिन्हें कि बाद में निकोटीन दिया गया, वे अपनी सामान्य क्रियाकलाप करते रहे।"
"But mice who had not been given the vaccine ""chilled out,"" say the researchers, a sign that the nicotine had reached their brains.","लेकिन जिन चूहेों को यह वैक्सीन नहीं दी गई थी, वे कहते हैं, वे इस बात का संकेत देते हैं कि नि:लड़ी उनके दिमाग तक पहुँच चुकी थी।","शोधकर्ता कहते हैं कि लेकिन जिस चूहे को वैक्सीन नहीं दिया गया था, उसे ""अच्छा लगा"", यह एक संकेत था कि निकोटीन उसके मस्तिष्क तक पहुंचा था।"
The experiments are described in the journal Science Translational Medicine.,विज्ञान पत्रिका अनुवाद समिति में किए गए सर्वेक्षण का वर्णन किया गया है।,"इस प्रयोग को, साइंस ट्रांसलेशनल मेडिसिन नामक पत्रिका में वर्णित किया गया था।"
Previous tobacco vaccines failed because they contained antibodies.,तंबाकू का पिछला टीका असफल हो गया क्योंकि उनमें रोग है।,"पहले के तम्बाकू के वैक्सीन इसलिए विफल हो गये थे, क्योंकि उनमें एन्टीबॉडीज था।"
The jabs had to be given so frequently to keep antibody levels topped up that they proved expensive and impractical.,"जिन लोगों को संक्रमण के स्तर में बढ़ते रहने के लिए बार-बार दिया जाता था, उन्हें महँगी और सस्ता साबित किया जाता था।","उसमें नियमित अन्तराल पर खुराक देना होता था, ताकि एन्टीबॉडीज का स्तर बना रहे, लेकिन वह महंगा तथा अव्यवहारिक साबित हुआ।"
"But the cost of the new vaccine is likely to be far lower, because it turns liver cells into antibody factories.","लेकिन नए वैक्सीन का लागत कहीं कम होने की संभावना है, क्योंकि यह टेस्फीयर कोशिकाओं को शरीर की नली में बदल देता है।","लेकिन नये वैक्सीन की कीमत बहुत होने की उम्मीद की जा रही है, क्योंकि यकृत कोशिका को एन्टीबॉडी की फैक्टरी बना देगा।"
"Prof Crystal said that if a future human vaccine was completely safe it could be given to children before they were tempted to try a cigarette, preventing nicotine addiction.","मूल क्रिस्टल ने कहा कि यदि एक भावी मानव टीका पूरी तरह से सुरक्षित था तो इससे पहले कि बच्चों को सिगरेट की परीक्षा लेने के लिए प्रलोभित किया जा सके, सिगरेट छोड़ने से रोकने की कोशिश की जा सकती है।","प्रोफेसर क्रिस्टल ने कहा कि यदि भविष्य की मानव वैक्सीन पूरी तरह सुरक्षित रही तो इसे बच्चों को, सिगरेट आजमाने के लालच से पहले दिया जा सकता है, जिससे उनको निकोटीन की लत से बचाया जा सके।"
